Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-11-16 00:00:00-05:00,336.52744415633504,338.20550186879746,335.2315882564463,338.0097351074219,74541100,0.0,0.0,0.0
2020-11-17 00:00:00-05:00,335.58590022182614,337.4038200477033,334.06631066128045,336.1918640136719,66111000,0.0,0.0,0.0
2020-11-18 00:00:00-05:00,336.4622460448913,337.0122764984411,332.1085756256408,332.1458740234375,70591300,0.0,0.0,0.0
2020-11-19 00:00:00-05:00,331.5118985467382,333.917118547066,330.16010920079276,333.5442199707031,59940900,0.0,0.0,0.0
2020-11-20 00:00:00-05:00,333.2832111745545,333.48830967329087,331.1856245307985,331.26019287109375,70417300,0.0,0.0,0.0
2020-11-23 00:00:00-05:00,333.07814104439876,334.5138306578325,330.83138907835473,333.2459411621094,63230600,0.0,0.0,0.0
2020-11-24 00:00:00-05:00,335.8096694568364,339.16581417336886,334.9520054155988,338.61578369140625,62415900,0.0,0.0,0.0
2020-11-25 00:00:00-05:00,338.53182210076363,338.55978878288744,336.9935976832792,338.0936584472656,45330900,0.0,0.0,0.0
2020-11-27 00:00:00-05:00,339.1937467150843,339.510711954968,338.01908906996096,339.0352783203125,28514100,0.0,0.0,0.0
2020-11-30 00:00:00-05:00,338.2521628265193,338.52252641604707,334.8401134429491,337.5343322753906,83872700,0.0,0.0,0.0
2020-12-01 00:00:00-05:00,340.80648250543936,342.7735385313629,340.20982212106463,341.2259826660156,74231400,0.0,0.0,0.0
2020-12-02 00:00:00-05:00,340.1073236283902,342.1023465458339,339.5293266004423,341.9438781738281,45927000,0.0,0.0,0.0
2020-12-03 00:00:00-05:00,341.84134577914966,343.24906853668045,340.7412849840267,341.8506774902344,62882000,0.0,0.0,0.0
2020-12-04 00:00:00-05:00,342.43807300794776,344.79669189453125,342.3448412299502,344.79669189453125,50749900,0.0,0.0,0.0
2020-12-07 00:00:00-05:00,344.02283916984663,344.58220128950416,342.8109116192047,344.0881042480469,48944300,0.0,0.0,0.0
2020-12-08 00:00:00-05:00,342.81089019400326,345.66360553059275,342.76428854125237,345.0949401855469,42458900,0.0,0.0,0.0
2020-12-09 00:00:00-05:00,345.756856938236,345.91532532686597,341.1608184625429,341.9998474121094,74098300,0.0,0.0,0.0
2020-12-10 00:00:00-05:00,340.62005024527565,342.9413700309111,339.74372300685593,341.887939453125,57735400,0.0,0.0,0.0
2020-12-11 00:00:00-05:00,340.18196214475313,341.89731861236754,338.65306921832496,341.48712158203125,57698600,0.0,0.0,0.0
2020-12-14 00:00:00-05:00,343.66862960375323,344.75002707857266,339.7810896102844,339.9582214355469,69216200,0.0,0.0,0.0
